date,count
2018-6-10,0
2018-6-9,0
2018-6-8,0
2018-6-7,14
2018-6-6,16
2018-6-5,19
2018-6-4,18
2018-6-3,11
2018-6-2,12
2018-6-1,16
2018-5-31,15
2018-5-30,13
2018-5-29,13
2018-5-28,11
2018-5-27,10
2018-5-26,12
2018-5-25,12
2018-5-24,19
2018-5-23,17
2018-5-22,14
2018-5-21,15
2018-5-20,6
2018-5-19,11
2018-5-18,18
2018-5-17,15
2018-5-16,23
2018-5-15,19
2018-5-14,24
2018-5-13,12
2018-5-12,11
2018-5-11,21
2018-5-10,19
2018-5-9,17
2018-5-8,11
2018-5-7,26
2018-5-6,12
2018-5-5,12
2018-5-4,19
2018-5-3,17
2018-5-2,16
2018-5-1,17
2018-4-30,12
2018-4-29,10
2018-4-28,10
2018-4-27,14
2018-4-26,19
2018-4-25,17
2018-4-24,17
2018-4-23,17
2018-4-22,14
2018-4-21,10
2018-4-20,15
2018-4-19,12
2018-4-18,22
2018-4-17,12
2018-4-16,18
2018-4-15,12
2018-4-14,11
2018-4-13,23
2018-4-12,26
2018-4-11,13
2018-4-10,15
2018-4-9,20
2018-4-8,11
2018-4-7,10
2018-4-6,19
2018-4-5,19
2018-4-4,19
2018-4-3,19
2018-4-2,16
2018-4-1,11
2018-3-31,13
2018-3-30,11
2018-3-29,17
2018-3-28,15
2018-3-27,13
2018-3-26,11
2018-3-25,12
2018-3-24,10
2018-3-23,18
2018-3-22,21
2018-3-21,31
2018-3-20,19
2018-3-19,23
2018-3-18,12
2018-3-17,15
2018-3-16,33
2018-3-15,25
2018-3-14,30
2018-3-13,23
2018-3-12,20
2018-3-11,11
2018-3-10,8
2018-3-9,19
2018-3-8,19
2018-3-7,22
2018-3-6,20
2018-3-5,17
2018-3-4,11
2018-3-3,11
2018-3-2,20
2018-3-1,23
2018-2-28,22
2018-2-27,16
2018-2-26,21
2018-2-25,15
2018-2-24,8
2018-2-23,19
2018-2-22,22
2018-2-21,20
2018-2-20,27
2018-2-19,14
2018-2-18,12
2018-2-17,10
2018-2-16,17
2018-2-15,20
2018-2-14,16
2018-2-13,16
2018-2-12,16
2018-2-11,11
2018-2-10,15
2018-2-9,16
2018-2-8,19
2018-2-7,23
2018-2-6,19
2018-2-5,19
2018-2-4,13
2018-2-3,13
2018-2-2,22
2018-2-1,27
2018-1-31,20
2018-1-30,25
2018-1-29,18
2018-1-28,13
2018-1-27,17
2018-1-26,26
2018-1-25,19
2018-1-24,26
2018-1-23,26
2018-1-22,26
2018-1-21,11
2018-1-20,9
2018-1-19,18
2018-1-18,37
2018-1-17,47
2018-1-16,35
2018-1-15,16
2018-1-14,14
2018-1-13,13
2018-1-12,30
2018-1-11,37
2018-1-10,33
2018-1-9,32
2018-1-8,30
